GEO_ID,NAME,S2701_C01_001E
48001,"Anderson County, Texas",45346
48003,"Andrews County, Texas",18110
48005,"Angelina County, Texas",84818
48007,"Aransas County, Texas",23843
48009,"Archer County, Texas",8577
48011,"Armstrong County, Texas",1924
48013,"Atascosa County, Texas",48336
48015,"Austin County, Texas",29896
48017,"Bailey County, Texas",6778
48019,"Bandera County, Texas",20684
48021,"Bastrop County, Texas",92802
48023,"Baylor County, Texas",3427
48025,"Bee County, Texas",23650
48027,"Bell County, Texas",342946
48029,"Bexar County, Texas",1956596
48031,"Blanco County, Texas",11239
48033,"Borden County, Texas",550
48035,"Bosque County, Texas",17975
48037,"Bowie County, Texas",87415
48039,"Brazoria County, Texas",356529
48041,"Brazos County, Texas",226682
48043,"Brewster County, Texas",9422
48045,"Briscoe County, Texas",1266
48047,"Brooks County, Texas",6493
48049,"Brown County, Texas",37092
48051,"Burleson County, Texas",17544
48053,"Burnet County, Texas",47739
48055,"Caldwell County, Texas",43267
48057,"Calhoun County, Texas",20141
48059,"Callahan County, Texas",13714
48061,"Cameron County, Texas",419101
48063,"Camp County, Texas",12456
48065,"Carson County, Texas",5827
48067,"Cass County, Texas",28383
48069,"Castro County, Texas",7386
48071,"Chambers County, Texas",44974
48073,"Cherokee County, Texas",47853
48075,"Childress County, Texas",5230
48077,"Clay County, Texas",10160
48079,"Cochran County, Texas",2525
48081,"Coke County, Texas",3207
48083,"Coleman County, Texas",7818
48085,"Collin County, Texas",1037027
48087,"Collingsworth County, Texas",2891
48089,"Colorado County, Texas",20289
48091,"Comal County, Texas",154962
48093,"Comanche County, Texas",13376
48095,"Concho County, Texas",2334
48097,"Cooke County, Texas",40822
48099,"Coryell County, Texas",62978
48101,"Cottle County, Texas",1560
48103,"Crane County, Texas",4562
48105,"Crockett County, Texas",2893
48107,"Crosby County, Texas",5196
48109,"Culberson County, Texas",2203
48111,"Dallam County, Texas",7100
48113,"Dallas County, Texas",2587485
48115,"Dawson County, Texas",10631
48117,"Deaf Smith County, Texas",18502
48119,"Delta County, Texas",5198
48121,"Denton County, Texas",881884
48123,"DeWitt County, Texas",18011
48125,"Dickens County, Texas",1482
48127,"Dimmit County, Texas",8733
48129,"Donley County, Texas",3207
48131,"Duval County, Texas",9482
48133,"Eastland County, Texas",17566
48135,"Ector County, Texas",160211
48137,"Edwards County, Texas",1351
48139,"Ellis County, Texas",186874
48141,"El Paso County, Texas",836150
48143,"Erath County, Texas",41836
48145,"Falls County, Texas",15266
48147,"Fannin County, Texas",32655
48149,"Fayette County, Texas",24098
48151,"Fisher County, Texas",3705
48153,"Floyd County, Texas",5451
48155,"Foard County, Texas",1056
48157,"Fort Bend County, Texas",801865
48159,"Franklin County, Texas",10323
48161,"Freestone County, Texas",18106
48163,"Frio County, Texas",14574
48165,"Gaines County, Texas",21079
48167,"Galveston County, Texas",342347
48169,"Garza County, Texas",4325
48171,"Gillespie County, Texas",26474
48173,"Glasscock County, Texas",1221
48175,"Goliad County, Texas",7010
48177,"Gonzales County, Texas",19467
48179,"Gray County, Texas",19831
48181,"Grayson County, Texas",133167
48183,"Gregg County, Texas",121710
48185,"Grimes County, Texas",25290
48187,"Guadalupe County, Texas",166962
48189,"Hale County, Texas",31249
48191,"Hall County, Texas",2832
48193,"Hamilton County, Texas",8036
48195,"Hansford County, Texas",5271
48197,"Hardeman County, Texas",3559
48199,"Hardin County, Texas",55727
48201,"Harris County, Texas",4674380
48203,"Harrison County, Texas",68006
48205,"Hartley County, Texas",4064
48207,"Haskell County, Texas",5119
48209,"Hays County, Texas",233003
48211,"Hemphill County, Texas",3416
48213,"Henderson County, Texas",80812
48215,"Hidalgo County, Texas",857921
48217,"Hill County, Texas",35080
48219,"Hockley County, Texas",21478
48221,"Hood County, Texas",59876
