X,Y,objectid,lea_school,ptmoved,comments,reviewed,school_nam,principal,street_lon,phys_addr,phys_city,phys_zip,phone,mail_addr,mail_city,mail_zip,fax,url_addres,county,accr_stat,sch_desg,sch_type,sch_ptype,sch_ctype,ext_hours,num_teach,bgn_grade,end_grade,pre_k,elem,middle,high,early_coll,Facility Name,Street Address,City Name,County_2,State,ZIP Code,Latitude,Longitude,Submissions,Toxic Release Inventory Report Link,Toxic Release Inventory - Form R Report Link,Risk-Screening Environmental Indicators Report Link
624053.792300001,231493.916099999,"2277","920369", ,point verified,"1",Cedar Fork Elementary,Kathleen Marynak,1050 Town Hall Drive,1050 Town Hall Drive,Morrisville,"27560","9193885240",1050 Town Hall Drive,Morrisville,"27560","9194626824",http://cedarforkes.wcpss.net,Wake, ,Public,Regular School,None,Traditional,"-","50",KG,"05", ,yes, , ,,ADAMS AN OLDCASTLE CO - MORRISVILLE,5701 MCCRIMMON PKWY,MORRISVILLE,WAKE,NC,"27560",35.84521,-78.83791,"22",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27560DMSPR5701M,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27560DMSPR5701M,https://enviro.epa.gov/enviro/rsei.html?facid=27560DMSPR5701M
617534.370999999,149606.850699998,"884","260452", ,point verified,"1",Westarea Elementary,Zakiyyah Backman,941 Country Club Drive,941 Country Club Drive,Fayetteville,"28301","9104881705",941 Country Club Drive,Fayetteville,"28301","9104889484",http://www.waes.ccs.k12.nc.us/,Cumberland,SA,Public,Regular School,None,Traditional,"-","36",PK,"05",yes,yes, , ,,ADAMS PRODUCTS CO - FAYETTEVILLE,957 COUNTRY CLUB BLVD,FAYETTEVILLE,CUMBERLAND,NC,"28301",35.0979,-78.91514,"7",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=28301DMSPR957CO,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=28301DMSPR957CO,https://enviro.epa.gov/enviro/rsei.html?facid=28301DMSPR957CO
518791.187399998,244322.703200001,"1046","410364", , , ,Fairview Elementary,Rhonda Copeland,608 Fairview St,608 Fairview St,High Point,"27260","3368192890",608 Fairview St,High Point,"27260","3368192892",http://schools.gcsnc.com/spages/fairview/index.htm,Guilford,SA,Public,Regular School,None,Traditional,"-","30",PK,"05",yes,yes, , ,,ADAMS-MILLIS INFLUENTIAL 1,425 S CENTENNIAL ST,HIGH POINT,GUILFORD,NC,"27260",35.95128,-79.99981,"4",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27260MRHSR425SO,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27260MRHSR425SO,https://enviro.epa.gov/enviro/rsei.html?facid=27260MRHSR425SO
519064.406199999,244122.3123,"2205","410408", , , ,Middle College at GTCC  High Point,Charlos Smith,901 South Main Street,901 South Main Street,High Point,"27262","3368194111",901 South Main Street,High Point,"27262","3368194116",http://schoolcenter.gcsnc.com/education/school/sc,Guilford, ,Public,Regular School,Cooperative Innovative HS,Traditional,"-","11","09","13", , , ,yes,true,ADAMS-MILLIS INFLUENTIAL 1,425 S CENTENNIAL ST,HIGH POINT,GUILFORD,NC,"27260",35.95128,-79.99981,"4",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27260MRHSR425SO,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27260MRHSR425SO,https://enviro.epa.gov/enviro/rsei.html?facid=27260MRHSR425SO
518560.156199999,244514.2029,"2208","410534", , , ,Dean B Pruett SCALE Academy,Kenneth Wheat,116 Pisgah Church Rd,900 English Road,High Point,"27262","3368785380",900 English Road,Greensboro,"27405","3368897625",http://schoolcenter.gcsnc.com/education/school/sc,Guilford, ,Public,Alternative Education,None,Traditional,"-","6","06","12", , ,yes,yes,,ADAMS-MILLIS INFLUENTIAL 1,425 S CENTENNIAL ST,HIGH POINT,GUILFORD,NC,"27260",35.95128,-79.99981,"4",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27260MRHSR425SO,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27260MRHSR425SO,https://enviro.epa.gov/enviro/rsei.html?facid=27260MRHSR425SO
518791.187399998,244322.703200001,"1046","410364", , , ,Fairview Elementary,Rhonda Copeland,608 Fairview St,608 Fairview St,High Point,"27260","3368192890",608 Fairview St,High Point,"27260","3368192892",http://schools.gcsnc.com/spages/fairview/index.htm,Guilford,SA,Public,Regular School,None,Traditional,"-","30",PK,"05",yes,yes, , ,,ADAMS-MILLIS WRANGLER,501 S CENTENNIAL ST,HIGH POINT,GUILFORD,NC,"27260",35.94946,-79.99992,"2",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27260DMSML501SO,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27260DMSML501SO,https://enviro.epa.gov/enviro/rsei.html?facid=27260DMSML501SO
519064.406199999,244122.3123,"2205","410408", , , ,Middle College at GTCC  High Point,Charlos Smith,901 South Main Street,901 South Main Street,High Point,"27262","3368194111",901 South Main Street,High Point,"27262","3368194116",http://schoolcenter.gcsnc.com/education/school/sc,Guilford, ,Public,Regular School,Cooperative Innovative HS,Traditional,"-","11","09","13", , , ,yes,true,ADAMS-MILLIS WRANGLER,501 S CENTENNIAL ST,HIGH POINT,GUILFORD,NC,"27260",35.94946,-79.99992,"2",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27260DMSML501SO,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27260DMSML501SO,https://enviro.epa.gov/enviro/rsei.html?facid=27260DMSML501SO
518560.156199999,244514.2029,"2208","410534", , , ,Dean B Pruett SCALE Academy,Kenneth Wheat,116 Pisgah Church Rd,900 English Road,High Point,"27262","3368785380",900 English Road,Greensboro,"27405","3368897625",http://schoolcenter.gcsnc.com/education/school/sc,Guilford, ,Public,Alternative Education,None,Traditional,"-","6","06","12", , ,yes,yes,,ADAMS-MILLIS WRANGLER,501 S CENTENNIAL ST,HIGH POINT,GUILFORD,NC,"27260",35.94946,-79.99992,"2",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27260DMSML501SO,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27260DMSML501SO,https://enviro.epa.gov/enviro/rsei.html?facid=27260DMSML501SO
619497.7205,238106.485800002,"919","32D000","yes, 2012",across town, ,Kestrel Heights School,Tim Dugan,4700 S. Alston Ave.,4700 S Alston Ave,Durham,"27713","9194841300",4700 S Alston Ave,Durham,"27713","9194841355",http://www.kestrelheights.org/,Durham, ,Charter,Regular School,None,Traditional,"-","37","06","12", , ,yes,yes,,AIRCO SPECIAL GASES,11 TRIANGLE DR,RESEARCH TRIANGLE PARK,WAKE,NC,"27709",35.89504,-78.8872,"3",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27709RCSPC11TRI,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27709RCSPC11TRI,https://enviro.epa.gov/enviro/rsei.html?facid=27709RCSPC11TRI
619470.374899998,238810.6873,"2168","320346", , , ,Lowe's Grove Middle,Kathleen Kirkpatrick,4418 S Alston Avenue,4418 S Alston Avenue,Durham,"27713","9195603946",4418 S Alston Avenue,Durham,"27713","9195602102",http://www.lowesgrove.dpsnc.net/,Durham, ,Public,Regular School,None,Traditional,"-","40","06","08", , ,yes, ,,AIRCO SPECIAL GASES,11 TRIANGLE DR,RESEARCH TRIANGLE PARK,WAKE,NC,"27709",35.89504,-78.8872,"3",https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27709RCSPC11TRI,https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27709RCSPC11TRI,https://enviro.epa.gov/enviro/rsei.html?facid=27709RCSPC11TRI
