"Facility Name","Street Address","City Name","County","State","ZIP Code","Latitude","Longitude","Submissions","Toxic Release Inventory Report Link","Toxic Release Inventory - Form R Report Link","Risk-Screening Environmental Indicators Report Link"
"3M CO-PITTSBORO","4191 HWY 87 S","MONCURE","CHATHAM","NC","27559","35.660933","-79.167316","94","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=275593MCPT4191H","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=275593MCPT4191H","https://enviro.epa.gov/enviro/rsei.html?facid=275593MCPT4191H"
"AAR POWERBOSS INC","ANDERSON & TAYLOR STS","ABERDEEN","MOORE","NC","283151227","35.13588","-79.43619","9","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=28315RPWRBANDER","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=28315RPWRBANDER","https://enviro.epa.gov/enviro/rsei.html?facid=28315RPWRBANDER"
"ABB POWER T&D CO INC","2728 CAPITAL BLVD","RALEIGH","WAKE","NC","27604","35.81653","-78.60067","43","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27604WSTNG2728N","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27604WSTNG2728N","https://enviro.epa.gov/enviro/rsei.html?facid=27604WSTNG2728N"
"ADAMS AN OLDCASTLE CO - MORRISVILLE","5701 MCCRIMMON PKWY","MORRISVILLE","WAKE","NC","27560","35.84521","-78.83791","22","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27560DMSPR5701M","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27560DMSPR5701M","https://enviro.epa.gov/enviro/rsei.html?facid=27560DMSPR5701M"
"ADAMS AN OLDCASTLE CO-DUNN","192 GATEWAY DR","DUNN","HARNETT","NC","28334","35.26943","-78.63434","15","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2833WLDCST192GA","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2833WLDCST192GA","https://enviro.epa.gov/enviro/rsei.html?facid=2833WLDCST192GA"
"ADAMS PRODUCTS CO - FAYETTEVILLE","957 COUNTRY CLUB BLVD","FAYETTEVILLE","CUMBERLAND","NC","28301","35.0979","-78.91514","7","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=28301DMSPR957CO","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=28301DMSPR957CO","https://enviro.epa.gov/enviro/rsei.html?facid=28301DMSPR957CO"
"ADAMS WOOD TURNING INC","216 WOODBINE ST","HIGH POINT","GUILFORD","NC","27262","35.92624","-80.0299","3","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27262DMSWD216WO","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27262DMSWD216WO","https://enviro.epa.gov/enviro/rsei.html?facid=27262DMSWD216WO"
"ADAMS-MILLIS INFLUENTIAL 1","425 S CENTENNIAL ST","HIGH POINT","GUILFORD","NC","27260","35.95128","-79.99981","4","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27260MRHSR425SO","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27260MRHSR425SO","https://enviro.epa.gov/enviro/rsei.html?facid=27260MRHSR425SO"
"ADAMS-MILLIS WRANGLER","501 S CENTENNIAL ST","HIGH POINT","GUILFORD","NC","27260","35.94946","-79.99992","2","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27260DMSML501SO","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27260DMSML501SO","https://enviro.epa.gov/enviro/rsei.html?facid=27260DMSML501SO"
"AEROQUIP CORP MIDDLESEX PLANT","HWY 264 E ALTERNATE","MIDDLESEX","NASH","NC","275570369","35.78708","-78.18608","2","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27557RQPCRHWY26","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27557RQPCRHWY26","https://enviro.epa.gov/enviro/rsei.html?facid=27557RQPCRHWY26"
"AIR LIQUIDE INDUSTRIAL US LP","326 FORESTVILLE ROAD","WAKE FOREST","WAKE","NC","27587","35.956964","-78.518075","11","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27587MGNDS326FO","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27587MGNDS326FO","https://enviro.epa.gov/enviro/rsei.html?facid=27587MGNDS326FO"
"AIRCO SPECIAL GASES","11 TRIANGLE DR","RESEARCH TRIANGLE PARK","WAKE","NC","27709","35.89504","-78.8872","3","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27709RCSPC11TRI","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27709RCSPC11TRI","https://enviro.epa.gov/enviro/rsei.html?facid=27709RCSPC11TRI"
"AJINOMOTO HEALTH & NUTRITION N.A. INC.","4020 AJINOMOTO DR","RALEIGH","WAKE","NC","27610","35.77127","-78.56609","148","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27610JNMTS4020A","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27610JNMTS4020A","https://enviro.epa.gov/enviro/rsei.html?facid=27610JNMTS4020A"
"AKZONOBEL COATINGS INC","1431 PROGRESS AVE","HIGH POINT","GUILFORD","NC","27260","35.92387","-80.02214","315","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27261RLNCN1431P","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27261RLNCN1431P","https://enviro.epa.gov/enviro/rsei.html?facid=27261RLNCN1431P"
"ALCATEL NETWORK SYSTEMS INC","2912 WAKE FOREST RD","RALEIGH","WAKE","NC","27609","35.82181","-78.62301","26","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27609LCTLN2912W","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27609LCTLN2912W","https://enviro.epa.gov/enviro/rsei.html?facid=27609LCTLN2912W"
"ALCATEL USA","1210-1212 FRONT ST","RALEIGH","WAKE","NC","27609","35.82181","-78.62301","1","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27609LCTLS12101","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27609LCTLS12101","https://enviro.epa.gov/enviro/rsei.html?facid=27609LCTLS12101"
"ALCOA BADIN WORKS","HWY 740","BADIN","STANLY","NC","28009","35.4155","-80.11826","102","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=28009LMNMCHWY74","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=28009LMNMCHWY74","https://enviro.epa.gov/enviro/rsei.html?facid=28009LMNMCHWY74"
"ALMA DESK CO FURNITURE DIV","1301 LINCOLN DR","HIGH POINT","GUILFORD","NC","27261","35.93648","-80.01938","13","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27261LMDSKPOBOX","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27261LMDSKPOBOX","https://enviro.epa.gov/enviro/rsei.html?facid=27261LMDSKPOBOX"
"ALMA DESK CO PLANT 1","710 W GREEN DR","HIGH POINT","GUILFORD","NC","27261","35.95011","-80.01391","6","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27261LMDSK710WE","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27261LMDSK710WE","https://enviro.epa.gov/enviro/rsei.html?facid=27261LMDSK710WE"
"ALMA GROUP CASEGOODS PLANT","1300 PROSPECT ST","HIGH POINT","GUILFORD","NC","27261","35.92637","-80.02264","12","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27261LMDSK1300P","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27261LMDSK1300P","https://enviro.epa.gov/enviro/rsei.html?facid=27261LMDSK1300P"
"AMERADA HESS CORP SELMA NORTH TERMINAL","STATE RD 1929","SELMA","JOHNSTON","NC","27576","35.553611","-78.308333","12","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27576MRDHSSTATE","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27576MRDHSSTATE","https://enviro.epa.gov/enviro/rsei.html?facid=27576MRDHSSTATE"
"AMERICAN HOME PRODUCTS LEDERLE LABORATORIES DIV","4305 OAK PARK","SANFORD","LEE","NC","27330","35.53918","-79.17456","3","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27330MRCNC4305O","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27330MRCNC4305O","https://enviro.epa.gov/enviro/rsei.html?facid=27330MRCNC4305O"
"AMERICAN METAL TREATING INC.","500 MANLEY ST","HIGH POINT","GUILFORD","NC","27260","35.95178","-79.97732","49","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27260MRCNM500MA","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27260MRCNM500MA","https://enviro.epa.gov/enviro/rsei.html?facid=27260MRCNM500MA"
"AMERICAN PHOENIX INC.","318 BLOUNT STREET","FAYETTEVILLE","CUMBERLAND","NC","28301","35.04731","-78.88473","10","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2830WMRCNP318BL","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2830WMRCNP318BL","https://enviro.epa.gov/enviro/rsei.html?facid=2830WMRCNP318BL"
"AMERICHEM INC LNC","7279 LIBERTY PARK AVE","LIBERTY","RANDOLPH","NC","27298","35.82201","-79.5589","16","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2729WMRCHM7279L","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2729WMRCHM7279L","https://enviro.epa.gov/enviro/rsei.html?facid=2729WMRCHM7279L"
"AMETEK ESP","8001 KNIGHTDALE BLVD - SUITE 121","KNIGHTDALE","WAKE","NC","27545","35.80728","-78.46033","10","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2754WMTKSP81KNI","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2754WMTKSP81KNI","https://enviro.epa.gov/enviro/rsei.html?facid=2754WMTKSP81KNI"
"APAC CAROLINA TAPCO ASPHALT PLANT #10","5730 RIVERDALE DR","JAMESTOWN","GUILFORD","NC","27282","35.96367","-79.92144","1","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27282PCCRL5730R","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27282PCCRL5730R","https://enviro.epa.gov/enviro/rsei.html?facid=27282PCCRL5730R"
"APAC CAROLINA TAPCO ASPHALT PLANT #6","PINEVIEW ST","ASHEBORO","RANDOLPH","NC","27203","35.767976","-79.824749","1","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27203PCCRLPINEV","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27203PCCRLPINEV","https://enviro.epa.gov/enviro/rsei.html?facid=27203PCCRLPINEV"
"APAC FAYETTEVILLE ASPHALT PLANT","6030 MURCHISON RD","FAYETTEVILLE","CUMBERLAND","NC","28305","35.114927","-78.930593","2","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=28305PCCRW6030M","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=28305PCCRW6030M","https://enviro.epa.gov/enviro/rsei.html?facid=28305PCCRW6030M"
"ARAUCO N.A. INC.","985 CORINTH RD","MONCURE","CHATHAM","NC","27559","35.60067","-79.04634","93","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27559WYRHSSTATE","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27559WYRHSSTATE","https://enviro.epa.gov/enviro/rsei.html?facid=27559WYRHSSTATE"
"ARCLIN USA LLC","790 CORINTH RD","MONCURE","CHATHAM","NC","27559","35.603333","-79.048889","141","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=27559CHMBNSTATE","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=27559CHMBNSTATE","https://enviro.epa.gov/enviro/rsei.html?facid=27559CHMBNSTATE"
"ARGOS APEX CONCRETE PLANT","1501 E WILLIAMS ST","APEX","WAKE","NC","27539","35.71034","-78.83807","11","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2750WPXCNC151EW","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2750WPXCNC151EW","https://enviro.epa.gov/enviro/rsei.html?facid=2750WPXCNC151EW"
"ARGOS CHAPEL HILL CONCRETE PLANT","291 GUTHRIE AVE","CARRBORO","ORANGE","NC","27510","35.908554","-79.067154","6","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2751WRGSCH291GU","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2751WRGSCH291GU","https://enviro.epa.gov/enviro/rsei.html?facid=2751WRGSCH291GU"
"ARGOS GARNER CONCRETE PLANT","604 E GARNER RD","GARNER","WAKE","NC","27529","35.70435","-78.59646","8","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2752WRGSGR64EGA","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2752WRGSGR64EGA","https://enviro.epa.gov/enviro/rsei.html?facid=2752WRGSGR64EGA"
"ARGOS HIGH POINT CONCRETE PLANT","406 TOMLINSON ST","HIGH POINT","GUILFORD","NC","27260","35.95118","-80.00764","5","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2726WRGSHG46TML","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2726WRGSHG46TML","https://enviro.epa.gov/enviro/rsei.html?facid=2726WRGSHG46TML"
"ARGOS KNIGHTDALE CONCRETE PLANT","6835 FORESTVILLE RD","KNIGHTDALE","WAKE","NC","27545","35.80958","-78.48821","8","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2754WRGSKN6835F","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2754WRGSKN6835F","https://enviro.epa.gov/enviro/rsei.html?facid=2754WRGSKN6835F"
"ARGOS PERSHING RD CONCRETE PLANT","714 PERSHING RD.","RALEIGH","WAKE","NC","27608","35.8046","-78.62915","10","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2760WRGSPR714PE","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2760WRGSPR714PE","https://enviro.epa.gov/enviro/rsei.html?facid=2760WRGSPR714PE"
"ARGOS READY MIX CAPITAL BLVD CONCRETE PLANT","5025 UNICON DR","WAKE FOREST","WAKE","NC","27587","35.9247","-78.53783","10","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=2758WRGSRD525UN","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=2758WRGSRD525UN","https://enviro.epa.gov/enviro/rsei.html?facid=2758WRGSRD525UN"
