"Facility Name","Street Address","City Name","County","State","ZIP Code","Latitude","Longitude","Submissions","Toxic Release Inventory Report Link","Toxic Release Inventory - Form R Report Link","Risk-Screening Environmental Indicators Report Link"
"3M ASTON","50 MILTON DR","CHESTER TOWNSHIP","DELAWARE","PA","19013","39.88054","-75.46053","35","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=19014CSTMC50MIL","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=19014CSTMC50MIL","https://enviro.epa.gov/enviro/rsei.html?facid=19014CSTMC50MIL"
"3M CO ELECTRICAL PRODUCTS DIV","1571 IMPERIAL WAY","THOROFARE","GLOUCESTER","NJ","08086","39.83007","-75.20203","34","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=08086MXXXX1571I","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=08086MXXXX1571I","https://enviro.epa.gov/enviro/rsei.html?facid=08086MXXXX1571I"
"ABBEY COLOR INC","400 E TIOGA ST","PHILADELPHIA","PHILADELPHIA","PA","19134","40.00236","-75.12179","64","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=19134BBYCL400ET","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=19134BBYCL400ET","https://enviro.epa.gov/enviro/rsei.html?facid=19134BBYCL400ET"
"ABINGTON RELDAN METALS LLC","4924 & 4928-4932 WELLINGTON ST","PHILADELPHIA","PHILADELPHIA","PA","19135","40.027168","-75.033954","25","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=19135BNGTN49244","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=19135BNGTN49244","https://enviro.epa.gov/enviro/rsei.html?facid=19135BNGTN49244"
"ACCURATE ELECTRO PLATING INC","11TH & WESTMORELAND ST","PHILADELPHIA","PHILADELPHIA","PA","19140","40.00253","-75.14717","2","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=19140CCRTL11THW","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=19140CCRTL11THW","https://enviro.epa.gov/enviro/rsei.html?facid=19140CCRTL11THW"
"ACME MANUFACTURING CO","7601 STATE RD","PHILADELPHIA","PHILADELPHIA","PA","19136","40.02917","-75.02557","8","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=19136CMMNF761ST","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=19136CMMNF761ST","https://enviro.epa.gov/enviro/rsei.html?facid=19136CMMNF761ST"
"ACTEGA N.A. INC","1050 TAYLORS LN","CINNAMINSON","BURLINGTON","NJ","08077","40.022751","-74.982746","129","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=08077KLSTR1050T","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=08077KLSTR1050T","https://enviro.epa.gov/enviro/rsei.html?facid=08077KLSTR1050T"
"ACTION MANUFACTURING CO","100 EAST ERIE AVENUE","PHILADELPHIA","PHILADELPHIA","PA","19134","40.00761","-75.12638","16","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=19134CTNMN100EE","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=19134CTNMN100EE","https://enviro.epa.gov/enviro/rsei.html?facid=19134CTNMN100EE"
"ADELPHIA STEEL EQUIPMENT CO INC","7372 STATE RD","PHILADELPHIA","PHILADELPHIA","PA","19136","40.027135","-75.029225","3","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=19136DLPHS7372S","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=19136DLPHS7372S","https://enviro.epa.gov/enviro/rsei.html?facid=19136DLPHS7372S"
"ADM COCOA PRODUCTS","600 ELLIS RD","GLASSBORO","GLOUCESTER","NJ","08028","39.69757","-75.12861","52","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=08028GLLDF600EL","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=08028GLLDF600EL","https://enviro.epa.gov/enviro/rsei.html?facid=08028GLLDF600EL"
"ADVANCE PROCESS SUPPLY CO","6900 RIVER RD","PENNSAUKEN","CAMDEN","NJ","08110","39.97422","-75.06049","5","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=08110DVNCP6900R","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=08110DVNCP6900R","https://enviro.epa.gov/enviro/rsei.html?facid=08110DVNCP6900R"
"ADVANCED LUBRICATION SPECIALTIES","420 IMPERIAL CT E","BENSALEM","BUCKS","PA","19020","40.070314","-74.942472","21","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=19020DVNCD420IM","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=19020DVNCD420IM","https://enviro.epa.gov/enviro/rsei.html?facid=19020DVNCD420IM"
"ADVANSIX RESINS & CHEMICALS LLC","2501 MARGARET","PHILADELPHIA","PHILADELPHIA","PA","19137","40.005901","-75.072103","382","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=19137LLDSGMARGA","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=19137LLDSGMARGA","https://enviro.epa.gov/enviro/rsei.html?facid=19137LLDSGMARGA"
"AGILENT TECHNOLOGIES INC LITTLE FALLS SITE","2850 CENTERVILLE RD","WILMINGTON","NEW CASTLE","DE","19808","39.759636","-75.625238","3","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=19808GLNTT2850C","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=19808GLNTT2850C","https://enviro.epa.gov/enviro/rsei.html?facid=19808GLNTT2850C"
"AGILENT TECHNOLOGIES INC. - NEWPORT SITE","538 FIRST STATE BLVD.","NEWPORT","NEW CASTLE","DE","19804","39.713979","-75.633003","71","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=19804RCKLN538FI","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=19804RCKLN538FI","https://enviro.epa.gov/enviro/rsei.html?facid=19804RCKLN538FI"
"AGWAY INC","50 MANHEIM AVE","BRIDGETON","CUMBERLAND","NJ","08302","39.429689","-75.218231","2","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=08302GWYNC50MAN","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=08302GWYNC50MAN","https://enviro.epa.gov/enviro/rsei.html?facid=08302GWYNC50MAN"
"AIR LIQUIDE ADVANCED SEPARATIONS","305 WATER ST","NEWPORT","NEW CASTLE","DE","19804","39.712136","-75.602935","114","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=19804MDLLP305WA","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=19804MDLLP305WA","https://enviro.epa.gov/enviro/rsei.html?facid=19804MDLLP305WA"
"AIR LIQUIDE INDUSTRIAL US  LP","A LINE RD","GIBBSTOWN","GLOUCESTER","NJ","08027","39.830929","-75.297942","12","https://enviro.epa.gov/enviro/tris_control_v2.tris_print?tris_id=08027CRDXCALINE","https://enviro.epa.gov/enviro/trisquery.dcn_details?tris_id=08027CRDXCALINE","https://enviro.epa.gov/enviro/rsei.html?facid=08027CRDXCALINE"
