OBJECTID,SCH_GUID,COUNTYCODE,COUNTY,DIST_CODE,DIST_NAME,SCHOOLCODE,SCHOOLTYPE,SCHOOL,SCHOOLNAME,X,Y,SOURCE
1,b74b7cde-ea6b-4e1c-be7e-29153457ddff,4,BERGEN,1658,Glen Rock,24R,"DAY CARE, TRANSITIONAL K",Glen Rock Cooperative Nursery School,Glen Rock Cooperative Nusery School,595867.7254,775390.8113,
2,13021f1f-c56e-411f-8b79-1bc7b2142d42,24,MIDDLESEX,632,North Brunswick Twp,82F,CHILD CARE/PRE-SCHOOL,"Creative Nursery School Childcare & Learning Center,",Creative Nursery School,498637.2112,585376.819,PRIVATE
3,71d48479-8c84-4bb9-9cd9-f4de803c100b,24,MIDDLESEX,1681,Old Bridge Twp.,18G,PRE-SCHOOL/PRE-K,Good Shepherd Children's Center,Good Shepherd Children's Center,546243.3329,570826.6693,PRIVATE
4,61fcd482-23cb-4353-b9a8-e59df7ffac76,30,OCEAN,1784,Lakewood Twp,05D,SPECIAL EDUCATION,TREE OF KNOWLEDGE LEARNING ACADEMY,Tree Of Knowledge,571543.7849,458850.2456,PRIVATE
5,5f1e91b4-f6d6-45f0-9757-8e0bf3fe3f60,4,BERGEN,63,Hackensack City,58A,DAY CARE,Sarkis & Siran Gabrellian Child Care Center,Sarkis & Siran Gabrellian Child Care and Learning Center,614915.0735,746660.2825,PRIVATE
6,2c0a38a3-7f6b-4302-91ba-73f630c0f7b7,36,SOMERSET,1132,Bridgewater-Raritan Reg,37K,NURSERY/PRE-SCHOOL/KINDERGARTEN PREP,Raritan Child Development Center,Raritan Child Development Center,455089.5592,639103.3096,PRIVATE
7,89251028-c8a9-4541-b53c-16478105d9cb,36,SOMERSET,1165,Hillsborough Twp,67K,NURSERY/PRE-SCHOOL/KINDERGARTEN PREP,Somerset Valley Ymca gs Lowe Center,Somerset Valley YMCA Gregory Scott  Lowe Center,440690.9196,610351.5568,PRIVATE
8,4921f2cd-3372-41d0-b395-7c8c8fc28d7a,6,BURLINGTON,193,Lumberton Twp,77B,NURSERY/PRE-SCHOOL,Peppermint Tree Too,Peppermint Tree Too,413057.0389,415760.1303,PRIVATE
9,6ea6593d-3f61-402e-b8f3-151966997131,12,CUMBERLAND,1648,Vineland,24F,DAY CARE/PRESCHOOL,Leaders of Tomorrow Early Learning Academy,Leaders of Tomorrow Early Learning Academy ,354141.3352,232082.8313,
10,aa251086-751d-4d86-8096-384acf3f4f9e,14,ESSEX,3570,Newark City,322,K-GRADE 12,Ironbound Catholic Academy,Ironbound Catholic Academy,586608.1436,688474.7532,PRIVATE
11,42edd48f-642b-4616-a73a-69b11ad22c0b,24,MIDDLESEX,628,New Brunswick City,79F,DAY CARE,Mae J. Strong Child Development Center,Mae J. Strong Child Development Center,506805.6844,603079.6884,PRIVATE
12,a9780c7b-ac7b-4f8a-8302-aff9b69465c1,28,MORRIS,1848,Rockaway Twp,07Y,NURSERY/PRE-SCHOOL/PRE-K,Picatinny Arsenal Child Development Center,Picatinny Arsenal Child Development Center,479109.8241,769628.2047,PRIVATE
13,22d0addf-b504-43fd-9ba2-e4cfab2781e2,3,BERGEN,3960,Pascack Valley Regional High School District,300,SPECIAL NEEDS,Park Academy,Programs At Park Academy,627081.1935,787418.848,PUBLIC
